time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
1962-Q3,-0.10014578606861321,-0.38004356908292125,0.20804642549317337,-0.32472666153640195,-0.4100875987760872,-0.0759614600320836,-0.06458543271309161,0.253674196835136,-0.10728185393674966,-0.1353397592054777,0.42432155248656783,0.278337564513035,-0.23471560210747155,-0.5933422593216172,-0.039389119078659884,0.9967240091574575,-0.16367265331410527,0.04504168483099871,0.07146150436314191,-0.45786997950820457,0.012119694173920559,-0.17381151324355482,0.17085154526150578,-0.9128577854159868,-0.16367265323107677,0.04504168607471716,0.07146150474003456,-0.4578699792692644,0.012119692316341024,-0.17381151122811686,0.17085154510129502,-0.9128577862209558,-0.9425117724026566,0.2592584547960966,-0.0028001484240373613,0.06928433441180355,-0.08968022083611478,-0.2416271821320819,1.0597577384125827,-0.5452125392819562,0.20041097929720753,-1.3902014351098861,0.31215312012693774
1962-Q4,-0.19745180668102016,-0.04803739574859764,0.4304570410610935,-0.38880313743053807,-0.3321553078908569,0.0015953174576158191,0.3046182294555572,0.4409351858168524,-0.10014578606861316,-0.3800435690829209,0.20804642549317434,-0.32472666153640056,-0.4100875987760843,-0.07596146003208291,-0.0645854327130922,0.25367419683513315,-0.10728185393674988,-0.13533975920547767,0.42432155248656805,0.27833756451303526,-0.2347156021074704,-0.5933422593216162,-0.03938911907866044,0.9967240091574534,-0.16367265331410527,0.04504168483099853,0.0714615043631413,-0.4578699795082054,0.012119694173919032,-0.1738115132435558,0.17085154526150642,-0.9128577854159832,-0.680689569095262,0.4153321297021648,0.018364761614662987,-0.31323960593015643,0.2865360642315983,0.06606010187028896,1.465957749910311,-0.04496220538005473,-0.15169316162095153,-0.9438894018170756,-0.0636532455249177
1963-Q1,-0.22649773269836043,-0.0016628286682924681,0.4481515984131169,-0.5608441256809928,-0.3212824715626603,-0.43136865668199953,0.45041430304073293,0.7638936136100873,-0.19745180668101905,-0.04803739574859757,0.43045704106109467,-0.3888031374305374,-0.3321553078908584,0.0015953174576161522,0.30461822945555783,0.4409351858168511,-0.1001457860686126,-0.380043569082921,0.20804642549317462,-0.32472666153640073,-0.4100875987760847,-0.0759614600320832,-0.0645854327130917,0.2536741968351329,-0.10728185393674908,-0.1353397592054777,0.42432155248656817,0.27833756451303515,-0.23471560210747067,-0.5933422593216163,-0.03938911907865961,0.9967240091574532,-0.3933869717134285,0.24973401303609855,-0.1887901772244202,-0.005650847372040863,0.5270584737858606,0.44925687671608405,1.3141824902205992,-0.6479572276376042,0.07048108217896383,-0.6501157984172276,0.18275876289288653
1963-Q2,-0.1453191017925998,-0.021657594230403338,0.2651319425205322,-0.8619850205862768,-0.47380566508912414,-0.7519262628826121,0.2703799595920533,1.0398038691686344,-0.22649773269836004,-0.0016628286682928428,0.4481515984131196,-0.5608441256809921,-0.32128247156266165,-0.4313686566820003,0.45041430304073504,0.7638936136100885,-0.19745180668101847,-0.04803739574859801,0.43045704106109484,-0.3888031374305384,-0.33215530789085856,0.001595317457615708,0.3046182294555591,0.4409351858168502,-0.10014578606861216,-0.38004356908292114,0.2080464254931747,-0.3247266615364011,-0.41008759877608547,-0.07596146003208332,-0.06458543271309136,0.25367419683513315,-0.32497935956764823,-0.13599314287803355,0.14999484316347506,0.14010422786854368,0.6752401274924268,0.7931986743069868,1.2590478950481139,-0.009548162713143201,0.12744357535019524,-0.7952018808860268,0.3508975937104082
1963-Q3,-0.0805558503938804,-0.10957263645863285,0.19570946874268186,-0.7693466410209531,-0.6063199683267757,-1.1410160884849627,0.20050151775812708,0.9562042877220863,-0.14531910179259838,-0.021657594230403338,0.2651319425205339,-0.8619850205862769,-0.4738056650891197,-0.7519262628826098,0.27037995959205063,1.0398038691686255,-0.22649773269835943,-0.0016628286682930649,0.44815159841312147,-0.56084412568099,-0.32128247156265877,-0.4313686566819994,0.4504143030407307,0.7638936136100863,-0.19745180668101814,-0.04803739574859822,0.4304570410610956,-0.3888031374305372,-0.33215530789085734,0.0015953174576158746,0.3046182294555564,0.44093518581684943,-0.4462616601986608,-0.3368625655045083,0.21073295629219088,0.18607183270481725,0.23101563828642463,0.7995143810845451,1.157061775733638,-0.17663300323242914,-0.4682511899351609,-0.9682034052648062,0.7472663829584522
1963-Q4,-0.08949515788878616,-0.17704032437645364,0.25842328450489277,-0.4457413755357903,-0.5322591678909063,-1.259114528667423,0.10767958213406637,1.2324778916706929,-0.08055585039387803,-0.10957263645863331,0.1957094687426863,-0.7693466410209546,-0.6063199683267722,-1.1410160884849634,0.20050151775812242,0.9562042877220749,-0.14531910179259655,-0.02165759423040378,0.26513194252053596,-0.8619850205862797,-0.47380566508911776,-0.7519262628826121,0.27037995959203753,1.039803869168625,-0.22649773269835877,-0.001662828668292371,0.44815159841312247,-0.5608441256809906,-0.32128247156265793,-0.43136865668199975,0.4504143030407235,0.7638936136100869,-0.6171378460907772,-0.3689736813382087,0.04193736581108033,-0.05769126196586281,-0.04859837977438029,0.7449096963485891,0.7976060307205753,-0.7303288343046127,-0.1598509559631993,-0.7312676366266545,0.6458934778259751
1964-Q1,-0.10286978560368451,-0.16829616029203012,0.2103794652314481,-0.24357861214199655,-0.4314234041258669,-1.0190710448545495,-0.07692857804663378,1.3171164538137479,-0.08949515788878404,-0.1770403243764528,0.2584232845048918,-0.44574137553579085,-0.5322591678909117,-1.2591145286674257,0.10767958213407125,1.2324778916706896,-0.08055585039387667,-0.1095726364586338,0.1957094687426855,-0.7693466410209583,-0.606319968326776,-1.141016088484966,0.20050151775813152,0.956204287722074,-0.14531910179259544,-0.02165759423040539,0.2651319425205356,-0.8619850205862829,-0.4738056650891216,-0.7519262628826134,0.27037995959204464,1.0398038691686253,-0.707839759129627,-0.13867669488088039,0.009890522940508083,-0.10148790301068572,0.14242512763424478,0.5790433187473831,0.8674670696027582,-0.3932391069313982,0.508058472354919,-1.0515604877839706,0.6410643486089281
1964-Q2,-0.10509264969907767,-0.18733982772982752,0.292736673922323,0.05915212102263823,-0.27469655426847617,-0.690314855594943,-0.1708759979137069,1.0974210103231306,-0.10286978560368545,-0.16829616029203032,0.2103794652314479,-0.2435786121419957,-0.4314234041258662,-1.0190710448545501,-0.07692857804662911,1.3171164538137554,-0.08949515788878296,-0.1770403243764518,0.2584232845048914,-0.4457413755357923,-0.5322591678909122,-1.2591145286674268,0.10767958213406126,1.2324778916706935,-0.08055585039387658,-0.1095726364586337,0.19570946874268588,-0.7693466410209588,-0.6063199683267766,-1.141016088484966,0.20050151775813008,0.9562042877220736,-0.8098817306835709,-0.06395336273875661,-0.002741996153582076,0.02819492842163844,0.31047629450104136,0.6112589444664476,0.9308694952937259,-0.0885427045613903,-0.04331203071801434,-1.1165407199351116,0.49570071470108346
1964-Q3,-0.001405266489355822,-0.1950703797701763,0.2113726186843246,0.10813084982148258,-0.12614921439741986,-0.14086525348041118,-0.2342649896927993,0.666734723530194,-0.10509264969907633,-0.18733982772982816,0.29273667392232167,0.05915212102263527,-0.27469655426847994,-0.6903148555949415,-0.17087599791369956,1.0974210103231377,-0.10286978560368354,-0.16829616029203187,0.21037946523144763,-0.24357861214199766,-0.43142340412586777,-1.0190710448545501,-0.07692857804662334,1.3171164538137563,-0.08949515788878187,-0.17704032437645245,0.25842328450489116,-0.4457413755357935,-0.5322591678909125,-1.259114528667426,0.1076795821340667,1.2324778916706902,-0.7825225987921003,-0.13268773801480385,0.06970084512743874,-0.0018198975240970652,0.3437224027982743,0.6553199973514539,1.0086711613755388,-0.41418504925514527,-0.2586058768335527,-1.2658727268492949,0.6257999210201921
1964-Q4,0.10724771213359854,-0.030602633654770645,0.03536508154945728,0.34960051476553644,0.09359875688724228,0.47531094087540293,-0.16265974491788437,0.2628619170229889,-0.0014052664893534073,-0.19507037977017885,0.2113726186843271,0.10813084982148069,-0.12614921439741827,-0.1408652534804099,-0.23426498969279264,0.6667347235301925,-0.10509264969907456,-0.1873398277298291,0.2927366739223224,0.05915212102263451,-0.27469655426848016,-0.6903148555949405,-0.17087599791370311,1.0974210103231425,-0.10286978560368237,-0.16829616029203195,0.21037946523144782,-0.24357861214199877,-0.43142340412586766,-1.0190710448545501,-0.0769285780466199,1.3171164538137534,-0.8644558133894166,-0.07063358796467208,-0.03773515448718229,0.07364504075662653,0.1173405237342921,0.8198530903081324,0.8418135903863144,-0.29360783562260306,-0.335915145663956,-0.8125153178040881,0.08995993909184774
